#,Short name,Character
0,Fresh Florals,"freesia, peony, magnolia — aquatic/ozonic florals"
1,Green Aromatics,"mint, sage, basil, rosemary — herbal/camphoraceous"
2,Balsamic Vanilla,"bourbon vanilla, Peru/tolu balsam — resinous sweet"
3,Provenance-Qualified,"Classics	Madagascar vanilla, Haitian vetiver — see note below"
4,Universal Backbone,"musk, bergamot, sandalwood, vanilla, jasmine"
5,Berry Confection,"raspberry, praline, cherry, marshmallow"
6,Modern Rose–Musk,"white musk, ambroxan, rose variants"
7,Animalic Oud,"castoreum, civet, Indian/Cambodian oud"
8,Resinous Conifer,"immortelle, balsam fir, smoke, hay"
9,Boozy Dark Gourmand,"coffee, rum, cacao, cognac"
10,Modifier-Qualified,"Fresh	white woods, pink grapefruit — see note"
11,Nutty–Dairy Gourmand,"caramel, almond, milk, hazelnut, chocolate"
12,Tropical Coastal,"coconut, tiare, salt, sea water"
13,Tea–Anise (low coherence),"vanille, tea, star anise — heterogeneous"
14,Leather–Incense Oud,"leather, agarwood, saffron, incense, tobacco"
