cluster,cluster_name,top_notes
0,freesia / pear / peony / magnolia / gardenia / orchid / lily / mimosa,"freesia, pear, peony, magnolia, gardenia, orchid, lily, mimosa"
1,mint / sage / petitgrain / basil / rosemary / cypress / clary sage / galbanum,"mint, sage, petitgrain, basil, rosemary, cypress, clary sage, galbanum"
2,bourbon vanilla / peru balsam / tolu balsam / vanilla absolute / ebony wood / skin / night blooming jasmine / mysore sandalwood,"bourbon vanilla, peru balsam, tolu balsam, vanilla absolute, ebony wood, skin, night blooming jasmine, mysore sandalwood"
3,madagascar vanilla / haitian vetiver / calabrian bergamot / egyptian jasmine / sicilian lemon / indonesian patchouli leaf / australian sandalwood / italian lemon,"madagascar vanilla, haitian vetiver, calabrian bergamot, egyptian jasmine, sicilian lemon, indonesian patchouli leaf, australian sandalwood, italian lemon"
4,musk / bergamot / sandalwood / vanilla / jasmine / amber / patchouli / cedar,"musk, bergamot, sandalwood, vanilla, jasmine, amber, patchouli, cedar"
5,raspberry / praline / sugar / red berries / strawberry / cherry / whipped cream / marshmallow,"raspberry, praline, sugar, red berries, strawberry, cherry, whipped cream, marshmallow"
6,white musk / ambroxan / ambrette / bulgarian rose / turkish rose / amberwood / damask rose / blood orange,"white musk, ambroxan, ambrette, bulgarian rose, turkish rose, amberwood, damask rose, blood orange"
7,castoreum / civet / champaca / animal notes / indian oud / cambodian oud / turmeric / laotian oud,"castoreum, civet, champaca, animal notes, indian oud, cambodian oud, turmeric, laotian oud"
8,immortelle / balsam fir / chamomile / smoke / hay / beeswax / fir / broom,"immortelle, balsam fir, chamomile, smoke, hay, beeswax, fir, broom"
9,honey / coffee / rum / cacao / oak / davana / dark chocolate / cognac,"honey, coffee, rum, cacao, oak, davana, dark chocolate, cognac"
10,white woods / pink grapefruit / white amber / vanilla orchid / rose petals / apple blossom / wild berries / pink peony,"white woods, pink grapefruit, white amber, vanilla orchid, rose petals, apple blossom, wild berries, pink peony"
11,caramel / almond / milk / hazelnut / chocolate / pistachio / brown sugar / bitter almond,"caramel, almond, milk, hazelnut, chocolate, pistachio, brown sugar, bitter almond"
12,coconut / frangipani / mango / tiare flower / salt / sea water / driftwood / coconut milk,"coconut, frangipani, mango, tiare flower, salt, sea water, driftwood, coconut milk"
13,vanille / tea / amalfi lemon / narcissus / african orange flower / star anise / french labdanum / ivy,"vanille, tea, amalfi lemon, narcissus, african orange flower, star anise, french labdanum, ivy"
14,leather / agarwood / saffron / incense / labdanum / ambergris / black pepper / tobacco,"leather, agarwood, saffron, incense, labdanum, ambergris, black pepper, tobacco"
