raw_token,n_products,canonical,action,reason
musk,12704,musk,KEEP,"REVIEW: word-containment overlap with ['black musk', 'cashmere musk', 'egyptian musk', 'gray musk', 'island musk'] (+5 more) -- not auto-merged, verify manually"
bergamot,9523,bergamot,KEEP,"REVIEW: word-containment overlap with ['bergamot blossom', 'bergamot leaf', 'calabrian bergamot', 'rind bergamot', 'sicilian bergamot'] (+1 more) -- not auto-merged, verify manually"
sandalwood,9149,sandalwood,KEEP,"REVIEW: word-containment overlap with ['australian sandalwood', 'indian sandalwood', 'madagascar sandalwood', 'mysore sandalwood', 'red sandalwood'] (+2 more) -- not auto-merged, verify manually"
amber,8917,amber,KEEP,"REVIEW: word-containment overlap with ['amber oil', 'amber xtreme', 'black amber', 'blue amber', 'crystal amber'] (+3 more) -- not auto-merged, verify manually"
vanilla,8839,vanilla,KEEP,"REVIEW: fuzzy-similar to 'vanille' (sim=0.86); REVIEW: word-containment overlap with ['black vanilla husk', 'bourbon vanilla', 'indian vanilla', 'madagascar vanilla', 'mexican vanilla'] (+11 more) -- not auto-merged, verify manually"
patchouli,8487,patchouli,KEEP,"REVIEW: word-containment overlap with ['chinese patchouli', 'dark patchouli', 'indian patchouli', 'indonesian patchouli leaf', 'patchouli leaf'] (+2 more) -- not auto-merged, verify manually"
jasmine,8242,jasmine,KEEP,"REVIEW: fuzzy-similar to 'jasmone' (sim=0.86); REVIEW: word-containment overlap with ['chinese jasmine', 'egyptian and indian jasmine', 'egyptian jasmine', 'false jasmine', 'hawaiian jasmine'] (+14 more) -- not auto-merged, verify manually"
rose,6615,rose,KEEP,"REVIEW: word-containment overlap with ['alba rose', 'baie rose', 'black rose', 'blue rose', 'bourbon rose'] (+41 more) -- not auto-merged, verify manually"
cedar,6216,cedar,KEEP,"REVIEW: word-containment overlap with ['atlas cedar', 'california cedar', 'cedar essence', 'cedar leaves', 'cedar needles'] (+10 more) -- not auto-merged, verify manually"
vetiver,4618,vetiver,KEEP,"REVIEW: fuzzy-similar to 'vetyver' (sim=0.86); REVIEW: word-containment overlap with ['bourbon vetiver', 'haitian vetiver', 'java vetiver oil', 'madagascar vetiver', 'tahitian vetiver'] (+1 more) -- not auto-merged, verify manually"
tonka bean,4199,tonka bean,KEEP,"REVIEW: word-containment overlap with ['tonka'] -- not auto-merged, verify manually"
mandarin orange,4075,mandarin orange,KEEP,"REVIEW: word-containment overlap with ['mandarin', 'orange'] -- not auto-merged, verify manually"
pink pepper,3302,pink pepper,KEEP,"REVIEW: word-containment overlap with ['pepper'] -- not auto-merged, verify manually"
orange blossom,3218,orange blossom,KEEP,"REVIEW: word-containment overlap with ['orange'] -- not auto-merged, verify manually"
lemon,3216,lemon,KEEP,"REVIEW: word-containment overlap with ['amalfi lemon', 'argentinian lemon', 'californian lemon', 'candied lemon', 'hatkora lemon'] (+17 more) -- not auto-merged, verify manually"
cardamom,3050,cardamom,KEEP,"REVIEW: fuzzy-similar to 'cardamon' (sim=0.88); REVIEW: word-containment overlap with ['black cardamom', 'guatemalan cardamom', 'white cardamom'] -- not auto-merged, verify manually"
lavender,3013,lavender,KEEP,"REVIEW: word-containment overlap with ['blue lavender', 'lavender extract', 'wild lavender'] -- not auto-merged, verify manually"
leather,2809,leather,KEEP,"REVIEW: word-containment overlap with ['black leather', 'russian leather', 'saffiano leather', 'white leather'] -- not auto-merged, verify manually"
iris,2703,iris,KEEP,"REVIEW: word-containment overlap with ['black iris', 'iris butter', 'iris flower', 'iris leaf', 'iris pallida'] (+4 more) -- not auto-merged, verify manually"
